2025-11-04 01:34:53,767 | INFO | Configuration loaded from config.yaml
2025-11-04 01:35:15,314 | INFO | User said: nexus
2025-11-04 01:35:15,441 | INFO | NEXUS listening...
2025-11-04 01:35:18,613 | INFO | NEXUS listening...
2025-11-04 01:35:24,443 | INFO | User said: go to youtube.com
2025-11-04 01:35:24,572 | INFO | NEXUS listening...
2025-11-04 01:35:27,734 | INFO | NEXUS listening...
2025-11-04 01:35:30,903 | INFO | NEXUS listening...
2025-11-04 01:35:36,423 | INFO | User said: what's the weather
2025-11-04 01:35:36,551 | INFO | NEXUS listening...
2025-11-04 01:35:39,718 | INFO | NEXUS listening...
2025-11-04 01:35:41,554 | INFO | NEXUS says: Emergency shutdown initiated.
2025-11-04 01:37:01,969 | INFO | Configuration loaded from config.yaml
2025-11-04 01:37:01,970 | INFO | Configuration loaded from config.yaml
2025-11-04 01:37:03,715 | INFO | NEXUS microphone initialized
2025-11-04 01:37:03,716 | INFO | Configuration loaded from config.yaml
2025-11-04 01:37:03,749 | INFO | Imported existing <module 'comtypes.gen' from 'C:\\Users\\Syed\\Documents\\NEXUS-VirtualAssistant\\venv\\lib\\site-packages\\comtypes\\gen\\__init__.py'>
2025-11-04 01:37:03,751 | INFO | Using writeable comtypes cache directory: 'C:\Users\Syed\Documents\NEXUS-VirtualAssistant\venv\lib\site-packages\comtypes\gen'
2025-11-04 01:37:03,828 | INFO | NEXUS says: NEXUS online. Say 'hey nexus' to activate.
2025-11-04 01:37:08,564 | INFO | NEXUS listening...
2025-11-04 01:37:13,236 | INFO | User said: hey nexus
2025-11-04 01:37:13,236 | INFO | NEXUS says: Listening, sir.
2025-11-04 01:37:15,747 | INFO | NEXUS listening...
2025-11-04 01:37:20,822 | INFO | User said: go to youtube.com
2025-11-04 01:37:20,873 | INFO | NEXUS says: Opening youtube.com
2025-11-04 01:37:23,515 | INFO | NEXUS listening...
2025-11-04 01:37:26,685 | INFO | NEXUS listening...
2025-11-04 01:37:30,393 | INFO | User said: what's the weather
2025-11-04 01:37:30,519 | INFO | NEXUS listening...
2025-11-04 01:37:33,689 | INFO | NEXUS listening...
2025-11-04 01:37:36,857 | INFO | NEXUS listening...
2025-11-04 01:37:43,686 | INFO | User said: what is the weather today
2025-11-04 01:37:43,820 | INFO | NEXUS listening...
2025-11-04 01:37:49,690 | INFO | User said: weather in peshawar
2025-11-04 01:37:49,824 | INFO | NEXUS listening...
2025-11-04 01:37:56,441 | INFO | User said: weather peshawar
2025-11-04 01:37:56,571 | INFO | NEXUS listening...
2025-11-04 01:37:59,740 | INFO | NEXUS listening...
2025-11-04 01:38:07,060 | INFO | User said: weather basu
2025-11-04 01:38:07,202 | INFO | NEXUS listening...
2025-11-04 01:38:10,369 | INFO | NEXUS listening...
2025-11-04 01:38:13,563 | INFO | NEXUS listening...
2025-11-04 01:38:16,732 | INFO | NEXUS listening...
2025-11-04 01:38:23,574 | INFO | User said: weather in basu
2025-11-04 01:38:23,707 | INFO | NEXUS listening...
2025-11-04 01:38:30,256 | INFO | User said: weather in paso
2025-11-04 01:38:30,380 | INFO | NEXUS listening...
2025-11-04 01:38:33,552 | INFO | NEXUS listening...
2025-11-04 01:38:36,718 | INFO | NEXUS listening...
2025-11-04 01:38:39,168 | INFO | NEXUS says: Emergency shutdown initiated.
2025-11-04 01:39:00,315 | INFO | Configuration loaded from config.yaml
2025-11-04 01:39:00,316 | INFO | Configuration loaded from config.yaml
2025-11-04 01:39:02,067 | INFO | NEXUS microphone initialized
2025-11-04 01:39:02,067 | INFO | Configuration loaded from config.yaml
2025-11-04 01:39:02,102 | INFO | Imported existing <module 'comtypes.gen' from 'C:\\Users\\Syed\\Documents\\NEXUS-VirtualAssistant\\venv\\lib\\site-packages\\comtypes\\gen\\__init__.py'>
2025-11-04 01:39:02,102 | INFO | Using writeable comtypes cache directory: 'C:\Users\Syed\Documents\NEXUS-VirtualAssistant\venv\lib\site-packages\comtypes\gen'
2025-11-04 01:39:02,181 | INFO | NEXUS says: NEXUS online. Say 'hey nexus' to activate.
2025-11-04 01:39:06,928 | INFO | NEXUS listening...
2025-11-04 01:39:09,963 | WARNING | NEXUS could not understand audio
2025-11-04 01:39:10,094 | INFO | NEXUS listening...
2025-11-04 01:39:13,258 | INFO | NEXUS listening...
2025-11-04 01:39:16,621 | WARNING | NEXUS could not understand audio
2025-11-04 01:39:16,743 | INFO | NEXUS listening...
2025-11-04 01:39:22,552 | INFO | User said: hey nexus
2025-11-04 01:39:22,553 | INFO | NEXUS says: Listening, sir.
2025-11-04 01:39:25,038 | INFO | NEXUS listening...
2025-11-04 01:39:32,195 | INFO | User said: play music
2025-11-04 01:39:32,197 | INFO | NEXUS says: Music not found
2025-11-04 01:39:34,485 | INFO | NEXUS listening...
2025-11-04 01:39:37,652 | INFO | NEXUS listening...
2025-11-04 01:39:40,822 | INFO | NEXUS listening...
2025-11-04 01:39:48,564 | INFO | User said: open cv.pdf
2025-11-04 01:39:48,688 | INFO | NEXUS listening...
2025-11-04 01:39:51,854 | INFO | NEXUS listening...
2025-11-04 01:39:53,550 | INFO | NEXUS says: Emergency shutdown initiated.
2025-11-04 01:44:13,712 | INFO | Configuration loaded from config.yaml
2025-11-04 01:44:13,713 | INFO | Configuration loaded from config.yaml
2025-11-04 01:44:15,475 | INFO | NEXUS microphone initialized
2025-11-04 01:44:15,477 | INFO | Configuration loaded from config.yaml
2025-11-04 01:44:15,514 | INFO | Imported existing <module 'comtypes.gen' from 'C:\\Users\\Syed\\Documents\\NEXUS-VirtualAssistant\\venv\\lib\\site-packages\\comtypes\\gen\\__init__.py'>
2025-11-04 01:44:15,514 | INFO | Using writeable comtypes cache directory: 'C:\Users\Syed\Documents\NEXUS-VirtualAssistant\venv\lib\site-packages\comtypes\gen'
2025-11-04 01:44:23,832 | INFO | Configuration loaded from config.yaml
2025-11-04 01:44:23,832 | INFO | Configuration loaded from config.yaml
2025-11-04 01:44:25,536 | INFO | NEXUS microphone initialized
2025-11-04 01:44:25,537 | INFO | Configuration loaded from config.yaml
2025-11-04 01:44:25,571 | INFO | Imported existing <module 'comtypes.gen' from 'C:\\Users\\Syed\\Documents\\NEXUS-VirtualAssistant\\venv\\lib\\site-packages\\comtypes\\gen\\__init__.py'>
2025-11-04 01:44:25,571 | INFO | Using writeable comtypes cache directory: 'C:\Users\Syed\Documents\NEXUS-VirtualAssistant\venv\lib\site-packages\comtypes\gen'
2025-11-04 01:44:25,654 | INFO | NEXUS says: NEXUS online. Say 'hey nexus' to activate.
2025-11-04 01:44:30,410 | INFO | NEXUS listening...
2025-11-04 01:44:34,202 | INFO | User said: nexus
2025-11-04 01:44:34,330 | INFO | NEXUS listening...
2025-11-04 01:44:40,625 | INFO | User said: annexes
2025-11-04 01:44:40,763 | INFO | NEXUS listening...
2025-11-04 01:44:48,276 | INFO | User said: nexus
2025-11-04 01:44:48,403 | INFO | NEXUS listening...
2025-11-04 01:44:51,578 | INFO | NEXUS listening...
2025-11-04 01:44:54,765 | INFO | User said: nexus
2025-11-04 01:44:54,899 | INFO | NEXUS listening...
2025-11-04 01:45:00,935 | INFO | User said: nexus
2025-11-04 01:45:01,066 | INFO | NEXUS listening...
2025-11-04 01:45:04,234 | INFO | NEXUS listening...
2025-11-04 01:45:07,575 | INFO | User said: nexus
2025-11-04 01:45:07,707 | INFO | NEXUS listening...
2025-11-04 01:45:12,752 | INFO | User said: love nexus
2025-11-04 01:45:12,882 | INFO | NEXUS listening...
2025-11-04 01:45:18,469 | INFO | User said: nexus
2025-11-04 01:45:18,603 | INFO | NEXUS listening...
2025-11-04 01:45:24,191 | INFO | User said: play nexus
2025-11-04 01:45:24,315 | INFO | NEXUS listening...
2025-11-04 01:45:31,261 | INFO | User said: hey nexus
2025-11-04 01:45:31,263 | INFO | NEXUS says: Listening, sir.
2025-11-04 01:45:33,750 | INFO | NEXUS listening...
2025-11-04 01:45:43,599 | INFO | User said: open gmail.com pdf
2025-11-04 01:45:43,602 | INFO | NEXUS says: Command not recognized. Try 'weather in berlin' or 'play music song.mp3'.
2025-11-04 01:45:50,666 | INFO | NEXUS listening...
2025-11-04 01:45:58,328 | INFO | User said: weather in peshawar
2025-11-04 01:45:58,465 | INFO | NEXUS listening...
2025-11-04 01:46:01,634 | INFO | NEXUS listening...
2025-11-04 01:46:05,720 | INFO | User said: weather in berlin
2025-11-04 01:46:05,843 | INFO | NEXUS listening...
2025-11-04 01:46:09,012 | INFO | NEXUS listening...
2025-11-04 01:46:12,180 | INFO | NEXUS listening...
2025-11-04 01:46:15,353 | INFO | NEXUS listening...
2025-11-04 01:46:25,471 | INFO | User said: play music song mp3
2025-11-04 01:46:25,609 | INFO | NEXUS listening...
2025-11-04 01:46:28,777 | INFO | NEXUS listening...
2025-11-04 01:46:36,663 | INFO | User said: play music song mp3
2025-11-04 01:46:36,799 | INFO | NEXUS listening...
2025-11-04 01:46:39,970 | INFO | NEXUS listening...
2025-11-04 01:46:43,133 | INFO | NEXUS listening...
2025-11-04 01:46:46,660 | WARNING | NEXUS could not understand audio
2025-11-04 01:46:46,796 | INFO | NEXUS listening...
2025-11-04 01:46:49,650 | WARNING | NEXUS could not understand audio
2025-11-04 01:46:49,787 | INFO | NEXUS listening...
2025-11-04 01:46:52,967 | INFO | NEXUS listening...
2025-11-04 01:46:56,131 | INFO | NEXUS listening...
2025-11-04 01:46:59,301 | INFO | NEXUS listening...
2025-11-04 01:47:02,483 | INFO | NEXUS listening...
2025-11-04 01:47:05,655 | INFO | NEXUS listening...
2025-11-04 01:47:08,820 | INFO | NEXUS listening...
2025-11-04 01:47:11,985 | INFO | NEXUS listening...
2025-11-04 01:47:15,164 | INFO | NEXUS listening...
2025-11-04 01:47:18,333 | INFO | NEXUS listening...
2025-11-04 01:47:21,720 | INFO | NEXUS listening...
2025-11-04 01:47:24,897 | INFO | NEXUS listening...
2025-11-04 01:47:28,070 | INFO | NEXUS listening...
2025-11-04 01:47:31,249 | INFO | NEXUS listening...
2025-11-04 01:47:34,417 | INFO | NEXUS listening...
2025-11-04 01:47:37,580 | INFO | NEXUS listening...
2025-11-04 01:47:40,551 | WARNING | NEXUS could not understand audio
2025-11-04 01:47:40,680 | INFO | NEXUS listening...
2025-11-04 01:47:43,839 | INFO | NEXUS listening...
2025-11-04 01:47:47,002 | INFO | NEXUS listening...
2025-11-04 01:47:50,168 | INFO | NEXUS listening...
2025-11-04 01:47:53,338 | INFO | NEXUS listening...
2025-11-04 01:47:56,511 | INFO | NEXUS listening...
2025-11-04 01:47:59,695 | INFO | NEXUS listening...
2025-11-04 01:48:02,870 | INFO | NEXUS listening...
2025-11-04 01:48:06,053 | INFO | NEXUS listening...
2025-11-04 01:48:09,242 | INFO | NEXUS listening...
2025-11-04 01:48:12,425 | INFO | NEXUS listening...
2025-11-04 01:48:15,590 | INFO | NEXUS listening...
2025-11-04 01:48:18,761 | INFO | NEXUS listening...
2025-11-04 01:48:21,926 | INFO | NEXUS listening...
2025-11-04 01:48:25,705 | WARNING | NEXUS could not understand audio
2025-11-04 01:48:25,848 | INFO | NEXUS listening...
2025-11-04 01:48:29,012 | INFO | NEXUS listening...
2025-11-04 01:48:32,191 | INFO | NEXUS listening...
2025-11-04 01:48:35,357 | INFO | NEXUS listening...
2025-11-04 01:48:38,533 | INFO | NEXUS listening...
2025-11-04 01:48:41,705 | INFO | NEXUS listening...
2025-11-04 01:48:44,879 | INFO | NEXUS listening...
2025-11-04 01:48:48,045 | INFO | NEXUS listening...
2025-11-04 01:48:51,209 | INFO | NEXUS listening...
2025-11-04 01:48:58,095 | INFO | User said: weather in peshawar
2025-11-04 01:48:58,224 | INFO | NEXUS listening...
2025-11-04 01:49:01,397 | INFO | NEXUS listening...
2025-11-04 01:49:04,559 | INFO | NEXUS listening...
2025-11-04 01:49:07,723 | INFO | NEXUS listening...
2025-11-04 01:49:10,892 | INFO | NEXUS listening...
2025-11-04 01:49:14,056 | INFO | NEXUS listening...
2025-11-04 01:49:17,551 | INFO | NEXUS listening...
2025-11-04 01:49:20,730 | INFO | NEXUS listening...
2025-11-04 01:49:23,897 | INFO | NEXUS listening...
2025-11-04 01:49:27,062 | INFO | NEXUS listening...
2025-11-04 01:49:35,032 | INFO | User said: play music song
2025-11-04 01:49:35,176 | INFO | NEXUS listening...
2025-11-04 01:49:45,100 | INFO | User said: play music song mp4
2025-11-04 01:49:45,231 | INFO | NEXUS listening...
2025-11-04 01:49:48,391 | INFO | NEXUS listening...
2025-11-04 01:49:51,549 | INFO | NEXUS listening...
2025-11-04 01:49:54,714 | INFO | NEXUS listening...
2025-11-04 01:49:57,886 | INFO | NEXUS listening...
2025-11-04 01:50:01,050 | INFO | NEXUS listening...
2025-11-04 01:50:04,221 | INFO | NEXUS listening...
2025-11-04 01:50:07,388 | INFO | NEXUS listening...
2025-11-04 01:50:10,568 | INFO | NEXUS listening...
2025-11-04 01:50:13,730 | INFO | NEXUS listening...
2025-11-04 01:50:16,900 | INFO | NEXUS listening...
2025-11-04 01:50:20,076 | INFO | NEXUS listening...
2025-11-04 01:50:23,246 | INFO | NEXUS listening...
2025-11-04 01:50:26,416 | INFO | NEXUS listening...
2025-11-04 01:50:29,582 | INFO | NEXUS listening...
2025-11-04 01:50:32,752 | INFO | NEXUS listening...
2025-11-04 01:50:35,914 | INFO | NEXUS listening...
2025-11-04 01:50:39,085 | INFO | NEXUS listening...
2025-11-04 01:50:42,253 | INFO | NEXUS listening...
2025-11-04 01:50:45,427 | INFO | NEXUS listening...
2025-11-04 01:50:48,599 | INFO | NEXUS listening...
2025-11-04 01:50:51,765 | INFO | NEXUS listening...
2025-11-04 01:50:54,937 | INFO | NEXUS listening...
2025-11-04 01:50:58,104 | INFO | NEXUS listening...
2025-11-04 01:51:01,280 | INFO | NEXUS listening...
2025-11-04 01:51:04,468 | INFO | NEXUS listening...
2025-11-04 01:51:07,662 | INFO | NEXUS listening...
2025-11-04 01:51:10,841 | INFO | NEXUS listening...
2025-11-04 01:51:14,029 | INFO | NEXUS listening...
2025-11-04 01:51:17,190 | INFO | NEXUS listening...
2025-11-04 01:51:20,378 | INFO | NEXUS listening...
2025-11-04 01:51:23,546 | INFO | NEXUS listening...
2025-11-04 01:51:26,715 | INFO | NEXUS listening...
2025-11-04 01:51:29,880 | INFO | NEXUS listening...
2025-11-04 01:51:33,046 | INFO | NEXUS listening...
2025-11-04 01:51:36,208 | INFO | NEXUS listening...
2025-11-04 01:51:39,375 | INFO | NEXUS listening...
2025-11-04 01:51:42,549 | INFO | NEXUS listening...
2025-11-04 01:51:45,744 | INFO | NEXUS listening...
2025-11-04 01:51:48,920 | INFO | NEXUS listening...
2025-11-04 01:51:52,085 | INFO | NEXUS listening...
2025-11-04 01:51:55,262 | INFO | NEXUS listening...
2025-11-04 01:51:58,426 | INFO | NEXUS listening...
2025-11-04 01:52:01,595 | INFO | NEXUS listening...
2025-11-04 01:52:04,755 | INFO | NEXUS listening...
2025-11-04 01:52:07,945 | INFO | NEXUS listening...
2025-11-04 01:52:11,109 | INFO | NEXUS listening...
2025-11-04 01:52:14,284 | INFO | NEXUS listening...
2025-11-04 01:52:17,458 | INFO | NEXUS listening...
2025-11-04 01:52:20,629 | INFO | NEXUS listening...
2025-11-04 01:52:23,799 | INFO | NEXUS listening...
2025-11-04 01:52:26,965 | INFO | NEXUS listening...
2025-11-04 01:52:29,276 | INFO | NEXUS says: Emergency shutdown initiated.
